meta,fid_min,fid_pl
a,0.355,0.95
b,0.39,0.955
c,0.405,0.945
d,0.415,0.96
e,0.075,0.965
f,0.33,0.98
g,0.38,0.955
h,0.345,0.98
i,0.2512820512820513,0.8256410256410256
