meta,fid_min,fid_pl
a,0.315,0.655
b,0.385,0.66
c,0.215,0.63
d,0.4,0.675
e,0.05,0.28
f,0.425,0.61
g,0.01,0.01
h,0.285,0.64
i,0.045,0.565
