meta,fid_min,fid_pl
a,0.31,0.965
b,0.375,0.975
c,0.255,0.965
d,0.405,0.95
e,0.065,0.985
f,0.31,0.98
g,0.015,0.985
h,0.265,0.985
i,0.275,0.72
