meta,fid_min,fid_pl
a,0.43,0.88
b,0.48,0.88
c,0.325,0.87
d,0.54,0.9
e,0.105,0.925
f,0.3,0.895
g,0.065,0.925
h,0.28,0.895
i,0.22105263157894736,0.6947368421052632
