meta,fid_min,fid_pl
a,0.11,0.68
b,0.14,0.685
c,0.085,0.645
d,0.165,0.7
e,0.02,0.34
f,0.14,0.56
g,0.0,0.11
h,0.105,0.67
i,0.095,0.82
